Day,Daily_Confirmed,Total_Confirmed,Daily_Recovered,Total_Recovered,Daily_Deceased,Total_Deceased
1,1,1,0,0,0,0
2,0,1,0,0,0,0
3,0,1,0,0,0,0
4,1,2,0,0,0,0
5,1,3,0,0,0,0
6,0,3,0,0,0,0
7,0,3,0,0,0,0
8,0,3,0,0,0,0
9,0,3,0,0,0,0
10,0,3,0,0,0,0
11,0,3,0,0,0,0
12,0,3,0,0,0,0
13,0,3,0,0,0,0
14,0,3,0,0,0,0
15,0,3,1,1,0,0
16,0,3,0,1,0,0
17,0,3,0,1,0,0
18,0,3,1,2,0,0
19,0,3,0,2,0,0
20,0,3,0,2,0,0
21,0,3,0,2,0,0
22,0,3,1,3,0,0
23,0,3,0,3,0,0
24,0,3,0,3,0,0
25,0,3,0,3,0,0
26,0,3,0,3,0,0
27,0,3,0,3,0,0
28,0,3,0,3,0,0
29,0,3,0,3,0,0
30,0,3,0,3,0,0
31,0,3,0,3,0,0
32,0,3,0,3,0,0
33,2,5,0,3,0,0
34,1,6,0,3,0,0
35,22,28,0,3,0,0
36,2,30,0,3,0,0
37,1,31,0,3,0,0
38,3,34,0,3,0,0
39,5,39,0,3,0,0
40,9,48,0,3,0,0
41,15,63,1,4,0,0
42,7,70,0,4,0,0
43,12,82,0,4,1,1
44,9,91,6,10,0,1
45,16,107,0,10,1,2
46,5,112,3,13,0,2
47,15,127,1,14,0,2
48,19,146,1,15,1,3
49,25,171,0,15,0,3
50,27,198,5,20,1,4
51,60,258,3,23,0,4
52,76,334,0,23,0,4
53,69,403,0,23,3,7
54,94,497,2,25,2,9
55,74,571,15,40,1,10
56,86,657,3,43,1,11
57,73,730,7,50,5,16
58,153,883,25,75,3,19
59,141,1024,10,85,5,24
60,115,1139,17,102,3,27
61,190,1329,35,137,16,43
62,306,1635,13,150,6,49
63,424,2059,19,169,7,56
64,486,2545,22,191,16,72
65,560,3105,39,230,14,86
66,579,3684,56,286,13,99
67,605,4289,43,329,22,121
68,489,4778,65,394,16,137
69,573,5351,75,469,26,163
70,565,5916,96,565,20,183
71,813,6729,70,635,46,229
72,871,7600,151,786,22,252
73,854,8454,186,972,40,292
74,758,9212,114,1086,42,334
75,1243,10455,112,1198,27,361
76,1035,11490,167,1365,37,398
77,882,12372,144,1509,27,425
78,1059,13431,258,1767,23,448
79,922,14353,273,2040,38,486
80,1371,15724,426,2466,35,521
81,1580,17304,388,2854,38,559
